,station,thZ_d,thal_lat,Z_ac,W_L_ac,W_R_ac,Z_beto,W_L_beto,W_R_beto,Z_vfe,W_L_vfe,W_R_vfe
31,31.0,0.04398187474976112,0.5684065721944398,-1.1407489438636276,3.4602359158948763,-4.301223336567706,-0.7727468539811753,3.154018005321986,-4.290831149710866,-7.779875520321411,21.2573874158987,-22.241452717799017
32,32.0,0.04912387870876955,0.58716615057921,-1.1315777636505118,3.4024140208346894,-4.262178667157531,-0.7638533289577936,3.082492546571255,-4.256824847729675,-7.771923097259787,21.30093580751122,-22.24259244218393
33,33.0,0.050610823813485695,0.5974456403178288,-1.126061642291802,3.3701758706115,-4.239987902389119,-0.7586148627889315,3.0424814454086997,-4.237372726044358,-7.767625733052455,21.34080555732087,-22.236603746399076
34,34.0,0.048185638351128546,0.5986566504963499,-1.1244576515000517,3.36763168541906,-4.238123226777956,-0.7572885271869154,3.0383706436463203,-4.23568394463902,-7.7672404994120825,21.37656282168988,-22.22305257100328
35,35.0,0.044557427164022556,0.5908401940852451,-1.1240566864330503,3.4079239773093875,-4.264942926477247,-0.7571652173098755,3.0770408327617687,-4.258721220932259,-7.768058291496573,21.41830161618346,-22.200372013334665
36,36.0,0.04056404267294056,0.5746399957401835,-1.1240208946701387,3.4897387901083428,-4.318722083422444,-0.7574070807366979,3.155578327314474,-4.304858318794841,-7.769241256885039,21.46815368537818,-22.168836723248596
37,37.0,0.03625666940490646,0.5507148406082067,-1.1242990916840654,3.6077724407296743,-4.395165602197846,-0.7579629329404725,3.26891144754389,-4.370341128760304,-7.770738211050343,21.525218261578352,-22.12922691773948
38,38.0,0.03168649188683048,0.5197235138363564,-1.124840092948034,3.756721246087131,-4.489978387387751,-0.7587815893942889,3.4119685136894686,-4.451415541362182,-7.772497969465803,21.588594577088283,-22.082322813801717
39,39.0,0.026904694645850213,0.4823248005716739,-1.125592713934907,3.9312815230944613,-4.598865343576462,-0.7598118655710095,3.5796778459906653,-4.544327447134013,-7.7744693476041675,21.657381864212294,-22.0289046284297
40,40.0,0.021962462208989564,0.4391774859612009,-1.1265057701177739,4.126149588665414,-4.717531375348277,-0.7610025769436106,3.7669677646869317,-4.645322736609334,-7.776601160938412,21.73067935525469,-21.969752578617843
41,41.0,0.01691097910327244,0.390940355151979,-1.1275280769693836,4.33602175971374,-4.8416813872874975,-0.7623025389850682,3.9687665900177236,-4.750647300321681,-7.7788422249415135,21.80758628251978,-21.905646881360543
42,42.0,0.011801429855267997,0.3382721932910499,-1.1286084499632807,4.555594353153184,-4.96702028397842,-0.763660567168813,4.180002642222493,-4.856547028804592,-7.781141355086788,21.887201878311874,-21.837367753652206
43,43.0,0.0066849989925685804,0.281831785525455,-1.1296957045719864,4.779563685897499,-5.089252970005349,-0.7650254769672529,4.395604241540695,-4.959267812591604,-7.783447366846872,21.968625374935293,-21.765695412487226
44,44.0,0.001612871041515973,0.222277917002236,-1.1307386562689317,5.002626074860432,-5.204084349952582,-0.7663460838540459,4.6104997082117825,-5.055055542216254,-7.785709075695195,22.05095600469434,-21.69141007486001
45,45.0,-0.0033637694701837972,0.1602693728684344,-1.131686120526524,5.219477836955733,-5.307219328404419,-0.7675712033014861,4.819617362475208,-5.140156108212077,-7.787875297104279,22.133292999893325,-21.615291957764963
46,46.0,-0.008193738015961571,0.0964649382710917,-1.1324869128181945,5.424815289097149,-5.394362809945161,-0.7686496507830043,5.017885524570427,-5.210815401112611,-7.7898948465474405,22.21473559283657,-21.53812127819648
47,47.0,-0.012825850068793443,0.0315233983572498,-1.1330898486170327,5.61333474819843,-5.461219699159106,-0.7695302417715766,5.200232514736895,-5.263279311451393,-7.791716539497656,22.29438301582837,-21.460678253148963
48,48.0,-0.01720892110188288,-0.0338964617260499,-1.1334437433960147,5.779732531173327,-5.503494900630558,-0.7701617917405201,5.361586653214059,-5.293793729761959,-7.79328919142813,22.371334501173052,-21.38374309961682
49,49.0,-0.021291766587864913,-0.0991358568317659,-1.1334974126278894,5.918704954935586,-5.516893318943811,-0.7704931161621289,5.496876260241379,-5.298604546577847,-7.794561617811382,22.444689281174917,-21.308096034594445
50,50.0,-0.025023201999943012,-0.1635360018128565,-1.1331996717859738,6.024948336398954,-5.49711985868317,-0.7704730305099474,5.601029656058307,-5.273957652432594,-7.7954826341208445,22.51354658813828,-21.234517275076247
51,51.0,-0.028378871328982314,-0.2276859935311844,-1.132526164860792,6.096288178235398,-5.440900367437552,-0.7700771787747271,5.672345577077549,-5.21697359001518,-7.796027884347154,22.577205036844344,-21.162443099610414
52,52.0,-0.03162647357873993,-0.3044922278207527,-1.131744590856556,6.164054585210923,-5.3577985825721886,-0.7695732599602252,5.744828460719262,-5.135844005077757,-7.796465067494296,22.637274763874103,-21.077982750137018
53,53.0,-0.03484778450729209,-0.3956484415007304,-1.1309367255310008,6.236759373341393,-5.253792357635687,-0.7690430498245178,5.827132621595026,-5.035835738593565,-7.796875959320232,22.69426965931923,-20.979196533037577
54,54.0,-0.03804299081582485,-0.498772245713994,-1.1301027555854262,6.313273908848215,-5.1321372263177425,-0.768486735068791,5.9174440267077735,-4.919899535279786,-7.797260746526149,22.748128560187315,-20.86852097323776
55,55.0,-0.04121227920381898,-0.6114812516034193,-1.1292428677194266,6.3924695579528,-4.996088722308047,-0.7679045023926392,6.013948643060439,-4.7909861398536,-7.797619615811527,22.798790303485934,-20.748392595663276
56,56.0,-0.044355836372119484,-0.7313930703118826,-1.1283572486336197,6.473217686876558,-4.848902379296294,-0.7672965384965664,6.114832437655954,-4.652046297032189,-7.797952753877098,22.846193726222694,-20.621247925239818
57,57.0,-0.04747384902077556,-0.8561253129822605,-1.1274460850282821,6.554389661840902,-4.693833730972175,-0.7666630300810766,6.218281377497254,-4.506030751532734,-7.798260347423138,22.890277665405176,-20.48952348689306
58,58.0,-0.05056650385040484,-0.9832955907574286,-1.1265095636036904,6.634856849067239,-4.534138311025384,-0.7660041638463326,6.322481429587271,-4.355890248072414,-7.798542583150038,22.93098095804097,-20.355655805548697
59,59.0,-0.053633987560829155,-1.1105215147802636,-1.125547871060121,6.71349061477698,-4.3730716531456135,-0.765320126492611,6.425618560928939,-4.2045755313684126,-7.798799647757846,22.96824244113767,-20.22208140613243
60,60.0,-0.05667648685266613,-1.2354206961936411,-1.1245611940978506,6.789162325191537,-4.213889291022557,-0.7646111047200748,6.525878738525192,-4.05503734613791,-7.799031727947067,23.00200095170286,-20.091236813569928
61,61.0,-0.05969418842630603,-1.355610746140438,-1.1235497194173831,6.860743346532319,-4.0598467583459055,-0.7638772852294551,6.621447929378963,-3.9102264370980873,-7.799239010418091,23.032195326744137,-19.965558552786902
62,62.0,-0.06268727898157067,-1.4687092757635298,-1.122513633718654,6.927105045020736,-3.914199588805353,-0.7631188547205738,6.710512100493184,-3.7730935489661244,-7.79942168187074,23.05876440326909,-19.847483148709035
63,63.0,-0.06565594521941875,-1.5723338962057931,-1.1214531237023948,6.987118786878199,-3.7802033160905935,-0.7623359998940487,6.79125721887079,-3.646589426459203,-7.7995799290058585,23.0816470182853,-19.73944712626201
64,64.0,-0.06860037383955842,-1.6641022186101042,-1.120368376068427,7.039655938326117,-3.6611134738913194,-0.7615289074500424,6.861869251514713,-3.5336648142945046,-7.799713938523382,23.10078200880037,-19.643887010371532
65,65.0,-0.07152075154272097,-1.7416318541193383,-1.1192595775174823,7.083587865585901,-3.5601855958972197,-0.7606977640888317,6.9205341654278865,-3.4372704571892094,-7.799823897123815,23.116108211821878,-19.563239325963274
66,66.0,-0.07441726502895563,-1.8025404138763728,-1.1181269147497233,7.117785934878962,-3.4806752157979934,-0.7598427565109205,6.9654379276132445,-3.360357099860499,-7.799909991507434,23.127564464357423,-19.49994059796294
67,67.0,-0.07729010099876632,-1.844445509024085,-1.116970574465313,7.141121512426711,-3.425837867283327,-0.7589640714163579,6.9947665050737236,-3.305875487025553,-7.799972408374629,23.135089603414592,-19.456427351296206
68,68.0,-0.08013944615208857,-1.8649647507053468,-1.1157907433646415,7.152465964450554,-3.3989290840429196,-0.7580618955055343,7.006705864812249,-3.2767763634015554,-7.800011334425335,23.138622466000978,-19.43513611088878
69,69.0,-0.08249394901713458,-1.8560094119898924,-1.1141160699756938,7.142805250409485,-3.407479933090179,-0.7566648773063207,6.992801422848229,-3.280782598868445,-7.799555418187765,23.131564094373942,-19.444898703475396
70,70.0,-0.08270255516902125,-1.7977338208587474,-1.110295499873473,7.0848525781731775,-3.466465539773342,-0.7531219623938341,6.930043119197828,-3.3345754774803336,-7.796953605236922,23.091397568755948,-19.50793543633967
71,71.0,-0.08084089828605556,-1.6942466392484048,-1.1044046667364,6.981962796843897,-3.5712557515740038,-0.7475087844467225,6.822236066546199,-3.433742788049389,-7.7922815292513405,23.020078494718707,-19.619877566748396
72,72.0,-0.07715729721007847,-1.5518787267223164,-1.0966918894063156,6.840455019827855,-3.715483653995163,-0.7400736623063722,6.675725448552017,-3.571967995107384,-7.785787509072634,22.92197977549963,-19.773877001093993
73,73.0,-0.07190007078133931,-1.376960942843934,-1.0874054867235827,6.6666483605312665,-3.892782332539814,-0.7310649148134871,6.496856448873958,-3.7429345631860897,-7.777719863541279,22.80147431433613,-19.963085645768896
74,74.0,-0.06531753784133798,-1.1758241471767092,-1.0767937775293603,6.466861932360342,-4.096784872710958,-0.7207308608091125,6.291974251170702,-3.940325956817283,-7.7683269114986615,22.6629350144656,-20.18065540716553
75,75.0,-0.05765801723066488,-0.954799199284094,-1.0651050806646936,6.2474148487212915,-4.321124360011591,-0.7093198191342935,6.067424039100922,-4.157825640532735,-7.7578569717853725,22.510734779125464,-20.419738191676345
76,76.0,-0.04916982779070622,-0.7202169587295401,-1.0525877149707412,6.014626223020333,-4.559433879944709,-0.6970801086300753,5.829550996323299,-4.389117078864219,-7.746558363242798,22.349246511553122,-20.673485905693738
77,77.0,-0.04010128836273452,-0.4784082850764991,-1.0394899992885485,5.7748151686636735,-4.805346518013312,-0.684260048137844,5.584700306496505,-4.627883736343507,-7.734679404712097,22.182843114985978,-20.935050455610167
78,78.0,-0.030700717787226495,-0.2357040378884233,-1.0260602524590468,5.5343007990575295,-5.052495359720397,-0.6711079564980764,5.33921715327922,-4.867809077502374,-7.722468415033973,22.01589749266145,-21.197583747818044
79,79.0,-0.02121643490556835,0.001564923271236,-1.0125467933232812,5.29940222760811,-5.29451349056896,-0.6578721525521587,5.0994467203301195,-5.102576566872591,-7.710173713049585,21.852782547816926,-21.45423768870981
80,80.0,-0.011896758558464171,0.2270677388390267,-0.9991979407220697,5.07643856772163,-5.525033996061999,-0.6448009551407949,4.871734191307881,-5.325869668985933,-7.6980436175999785,21.697871183689823,-21.698164184677896
81,81.0,-0.0029900075875275434,0.4344735492514968,-0.9862620134970257,4.8717289328043005,-5.73768996170251,-0.632142683105485,4.662424749871179,-5.531371848374172,-7.686326447526312,21.555536303517552,-21.922515142114733
82,82.0,0.005255499166764821,0.6174514949451955,-0.9739873304887396,4.691592436262335,-5.926114472993495,-0.6201456552870468,4.477863579678692,-5.712766569569082,-7.675270521669404,21.430150810537523,-22.120442467412737
83,83.0,0.0125914428631404,0.7696707163566701,-0.9626222105383704,4.542348191501944,-6.083940615437948,-0.6090581905264116,4.324395864389096,-5.8637372971024355,-7.665124158870412,21.32608760798713,-22.28509806696435
84,84.0,0.018769504660667735,0.8848003539224694,-0.952414972486622,4.430315311929341,-6.2048014745388675,-0.5991286076646247,4.208366787661067,-5.977967495506006,-7.6561356779701555,21.24771959910379,-22.40963384716199
85,85.0,0.02354136571818799,0.9565095480791408,-0.943613935175108,4.361812910950739,-6.282330135799252,-0.5906052255428449,4.136121533153284,-6.049140629311566,-7.648553397810019,21.199419687124905,-22.487201714398104
86,86.0,0.026664484880598138,0.978576194679892,-0.9364616397585905,4.343063113052069,-6.310280305732283,-0.5837305853161752,4.113924201886286,-6.0710765912460705,-7.6426198595448795,21.185521348661688,-22.51104899382659
87,87.0,0.028777757060538534,0.9622087211409844,-0.9303191913245428,4.364457924760053,-6.301452921290607,-0.5778657920719752,4.134370940739986,-6.058788383021955,-7.637696168262437,21.203183487794874,-22.490246326112885
88,88.0,0.03047885788350868,0.9206521254551896,-0.9245889142474653,4.413616243214802,-6.269952156886944,-0.5724131701847455,4.1862846864757834,-6.027588937386163,-7.633184648336737,21.24595856684543,-22.43742888612684
89,89.0,0.03181754480544896,0.8574222254361201,-0.9192210510715313,4.486634667422297,-6.218892943832878,-0.5673229621985456,4.265273374031147,-5.980117824903387,-7.629035542312181,21.31033007798812,-22.35706519428761
90,90.0,0.03284357528139026,0.776034838897389,-0.9141658443414826,4.579609796388528,-6.151390213439996,-0.5625454106583447,4.366944938343548,-5.919014616138326,-7.625199092733624,21.392781513397686,-22.25362377101434
91,91.0,0.03360670676636346,0.680005783652609,-0.909373536602402,4.688638229119478,-6.070558897019879,-0.558030758109112,4.486907314350455,-5.846918881655673,-7.621625542145921,21.489796365248914,-22.13157313672619
92,92.0,0.034156696715854196,0.5728508775153929,-0.9047943703989176,4.809816564621136,-5.979513925884116,-0.5537292470953616,4.620768436989337,-5.7664701920201225,-7.618265133093814,21.597858125716566,-21.9953818118423
93,93.0,0.034543302584893354,0.4580859382993539,-0.9003785882756574,4.939241401899486,-5.881370231344292,-0.5495911201620629,4.764136241197664,-5.680308117796373,-7.6150681081220455,21.71345028697541,-21.849518316781833
94,94.0,0.03481628182873919,0.3392267838181048,-0.8960764327778179,5.073009339960516,-5.779242744711988,-0.5455666198539575,4.912618661912908,-5.591072229549117,-7.611984709775697,21.833056341200205,-21.698451171963917
95,95.0,0.03502539190276366,0.2197892318852585,-0.8918381464496861,5.207216977810211,-5.676246397298794,-0.5416059887156734,5.061823634072532,-5.501402097843048,-7.608965180598943,21.953159780565716,-21.54664889780772
96,96.0,0.03522039026211132,0.1032891003144279,-0.8876139718363447,5.337960914454557,-5.575496120416291,-0.5376594692920662,5.207359092614011,-5.413937293242867,-7.60595976313698,22.070244097246725,-21.398580014732396
97,97.0,0.035451034362381506,-0.006757793080774,-0.8833541514819672,5.461337748899541,-5.480106845376067,-0.5336773041276501,5.344832972474813,-5.331317386313265,-7.602918699934094,22.180792783417974,-21.258713043157098
98,98.0,0.035767081658150346,-0.1068356304867348,-0.879008927932091,5.573444080151148,-5.393193503489705,-0.529609735767508,5.469853208592408,-5.256181947618938,-7.599792233535595,22.28128933125425,-21.131516503500958
99,99.0,0.03621828960535822,-0.1934285940898408,-0.8745285437308894,5.670376507215366,-5.317871026068794,-0.5254070067560406,5.578027735904264,-5.191170547724582,-7.596530606485771,22.368217232930302,-21.02145891618314
100,100.0,0.03685441565869496,-0.2630208660764792,-0.8698632414233316,5.748231629098179,-5.257254344424915,-0.5210193596384443,5.6649644893478515,-5.138922757194893,-7.593084061329705,22.438059980620906,-20.933008801622787
101,101.0,0.03772521727387357,-0.312096628633038,-0.8649632635541593,5.803106044805576,-5.214458389869652,-0.5163970369590061,5.72627140386064,-5.102078146594563,-7.589402840612024,22.48730106650082,-20.870634680239057
102,102.0,0.03888045190558387,-0.337140063945903,-0.8597788526683416,5.83109635334354,-5.1925980937145955,-0.5114902812630362,5.7575564143800975,-5.083276286488292,-7.585437186877584,22.512423982744814,-20.838805072451102
103,103.0,0.04046079779232059,-0.3373067662476094,-0.8541693305274976,5.830079496084922,-5.191160415450035,-0.5061584143120399,5.756279191765461,-5.081665659270243,-7.581046421888232,22.510764665631353,-20.841119144195766
104,104.0,0.04283245398960389,-0.3230538700710968,-0.8477684980762206,5.806748982315413,-5.195676998579542,-0.5000352370506107,5.7293697944926585,-5.083262054350465,-7.575864346588332,22.485168116540752,-20.874820219112472
